location,source,target,id,fuzzy,context,translator_comments,developer_comments
,,Abadar,Abadar,,,**Abadar** (deity) 161,
,,Abaddon,Abaddon,,,**Abaddon** (plane) 179,
,,aberration,aberration,,,**aberration** (trait) Aberrations are creatures from beyond the planes or corruptions of the natural order.,
,,Absalom,Absalom,,,"**Absalom** 143, 146",
,,access,access,,,**access** You can select an uncommon rules element if you meet the criteria listed in its access entry. 23,
,,accomplishment XP,accomplishment_XP,,,"**accomplishment XP** 56, 57",
,,acid,acid,,,**acid** (damage type) *PC* 409,
,,acid,acid,,,**acid** (trait)  Effects with this trait deal acid damage. Creatures with this trait have a connection to magical acid.,
,,activity,activity,,,"**activity** A category of action that typically takes more than a single action. Activities on your turn take 2 actions ([two-actions]) or 3 actions ([three-actions]). Exploration and downtime activities can take minutes, hours, or days.",
,,exploration activities PC,exploration_activities_PC,,,"exploration activities 39–42, *PC* 438–439",
,,adamantine material,adamantine_material,,,"adamantine (material) 228, 233, 240, 253",
,,adjudicating rules,adjudicating_rules,,,adjudicating rules 15–17,
,,adjudicating actions,adjudicating_actions,,,adjudicating actions 27–28,
,,advancement speeds,advancement_speeds,,,advancement speeds 57,
,,adventure,adventure,,,"**adventure** A single narrative — including the setup, plot, and conclusion. The player haracters play through an adventure over the course of one or more game sessions, and the adventure might be part of a larger campaign.",
,,adventure design,adventure_design,,,adventure design 68–74,
,,adventure recipes,adventure_recipes,,,adventure recipes 68–71,
,,Paizo s published adventures,Paizo_s_published_adventures,,,Paizo’s published adventures 9,
,,preparing adventures,preparing_adventures,,,preparing adventures 8–9,
,,story arcs,story_arcs,,,story arcs 73,
,,threats,threats,,,threats 71–72,
,,aeon,aeon,,,"**aeon** (trait) These monitors are the self-styled defenders of reality. Traditional eons have dualistic natures and forms, and they hold a dichotomy of interests, though axiomites and inevitables don’t. Aeons other than axiomites and inevitables communicate via a strange telepathic hodgepodge of sensory sending called envisioning.",
,,aerial combat,aerial_combat,,,"**aerial combat** 30, *PC* 437",
,,affliction,affliction,,,"**affliction** An affliction can affect a creature for a long time, over several different stages. The most common kinds are curses, diseases, and poisons. 86–89, *PC* 430–431",
,,Age of Lost Omens,Age_of_Lost_Omens,,,**Age of Lost Omens** 143–181,
,,agile,agile,,,"**agile** (weapon trait) The multiple attack penalty you take with this weapon on the second attack on your turn is –4 instead of –5, and –8 instead of –10 on the third and subsequent attacks in the turn.",
,,air,air,,,**air** (trait) Effects with the air trait either manipulate or conjure air. Those that manipulate air have no effect in a vacuum or an area without air. Creatures with this trait consist primarily of air or have a connection to magical air. 173,
,,Akiton,Akiton,,,**Akiton** 145,
,,alchemical,alchemical,,,"**alchemical** (trait) **221**, 244–251 (items)",
,,bombs,bombs,,,bombs 244–245,
,,elixirs,elixirs,,,elixirs 246–247,
,,poisons,poisons,,,poisons 248–250,
,,tools,tools,,,tools 251,
,,alchemical,alchemical,,,**alchemical** (vehicle propulsion trait) 211,
,,alghollthu,alghollthu,,,**alghollthu** 160,
,,Alkenstar,Alkenstar,,,**Alkenstar** 151,
,,ammunition,ammunition,,,**ammunition** (magic item) 255–256,
,,amphibious,amphibious,,,"**amphibious** (trait) An amphibious creature can breathe in water and in air, even outside of its preferred environment, usually indefinitely but at least for hours. These creatures often have a swim Speed. Their bludgeoning and slashing unarmed Strikes don’t take the usual –2 penalty for being underwater.",
,,Anastasia,Anastasia,,,**Anastasia** 154,
,,Andoran,Andoran,,,"**Andoran** 153, 155, **167**",
,,angel,angel,,,"**angel** (trait) This family of celestials is native to the plane of Nirvana. Most angels are holy, have darkvision, and have a weakness to unholy.",
,,animal,animal,,,"**animal** (trait) An animal is a creature with a relatively low intelligence. It typically doesn’t have an Intelligence attribute modifier over –4, can’t speak languages, and can’t be trained in Intelligence-based skills.",
,,apex,apex,,,**apex** (trait) 270,
,,apex item,apex_item,,,**apex item** (magic item) 270–271,
,,aquatic,aquatic,,,**aquatic** (trait) Aquatic creatures are at home underwater. Their bludgeoning and slashing unarmed Strikes don’t take the usual –2 penalty for being underwater. Aquatic creatures can breathe water but not air.,
,,aquatic combat,aquatic_combat,,,**aquatic combat** 30–31,
,,AR (Absalom reckoning),AR__Absalom_reckoning,,,**AR (Absalom reckoning)** 144,
,,Arazni,Arazni,,,**Arazni** 151,
,,Arcadia,Arcadia,,,**Arcadia** 145,
,,Arcadian Ocean,Arcadian_Ocean,,,**Arcadian Ocean** 150,
,,arcane,arcane,,,"**arcane** (trait) This magic comes from the arcane tradition, which is built on logic and rationality. Anything with this trait is magical.",
,,archetype,archetype,,,**archetype** A special additional theme for your character that you can choose using your class feats. *PC* 215–223,
,,free archetype variant,free_archetype_variant,,,free archetype variant 84,
,,archon,archon,,,**archon** (trait) Members of this family of celestials are the protectors of Heaven and are holy. They have darkvision and a weakness to unholy.,
,,Arclords of Nex,Arclords_of_Nex,,,**Arclords of Nex** 151,
,,Armies of Exploration,Armies_of_Exploration,,,**Armies of Exploration** 155,
,,armor,armor,,,"**armor** (magic item) 226–231, *PC* 271–273",
,,Aroden,Aroden,,,"**Aroden** 143, 144, 148",
,,art objects & gems,art_objects___gems,,,**art objects & gems** 298–299,
,,artifact,artifact,,,"**artifact** (trait) **300**, 300–303 (items)",
,,Asmodeus,Asmodeus,,,"**Asmodeus** (deity) 153, **161**, 180",
,,aspect,aspect,,,**aspect** relic aspect 308,
,,Aspis Consortium,Aspis_Consortium,,,"**Aspis Consortium** (faction) 152, **164**",
,,astral,astral,,,**astral** (trait) Astral creatures are natives of the Astral Plane. They can survive the basic environmental effects of the Astral Plane.,
,,Astral Plane,Astral_Plane,,,**Astral Plane** (plane) 177,
,,atheism,atheism,,,**atheism** 163,
,,attack,attack,,,"**attack** (trait)  An ability with this trait involves an attack. For each attack you make beyond the first on your turn, you take a multiple attack penalty.",
,,Aucturn,Aucturn,,,**Aucturn** 145,
,,auditory,auditory,,,**auditory** (trait) Auditory actions and effects rely on sound. An action with the auditory trait can be successfully performed only if the creature using the action can speak or otherwise produce the required sounds. A spell or effect with the auditory trait has its effect only if the target can hear it.,
,,This applies only to,This_applies_only_to,,,"This applies only to sound-based parts of the effect, as determined by the GM. This is different from a sonic effect, which still affects targets who can’t hear it (such as deaf targets) as long as the effect itself makes sound.",
