"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","","","Abadar","False","","Abadar (deity) 161",""
"","","","Abaddon","False","","Abaddon (plane) 179",""
"","","","aberration","False","","aberration (trait) Aberrations are creatures from beyond the planes or corruptions of the natural order.",""
"","","","Absalom","False","","Absalom 143, 146",""
"","","","access","False","","access You can select an uncommon rules element if you meet the criteria listed in its access entry. 23",""
"","","","accomplishment_XP","False","","accomplishment XP 56, 57",""
"","","","acid","False","","acid (damage type) PC 409",""
"","","","acid","False","","acid (trait)  Effects with this trait deal acid damage. Creatures with this trait have a connection to magical acid.",""
"","","","activity","False","","activity A category of action that typically takes more than a single action. Activities on your turn take 2 actions ([two-actions]) or 3 actions ([three-actions]). Exploration and downtime activities can take minutes, hours, or days.",""
"","","","exploration_activities_PC","False","","exploration activities 39–42, PC 438–439",""
"","","","adamantine_material","False","","adamantine (material) 228, 233, 240, 253",""
"","","","adjudicating_rules","False","","adjudicating rules 15–17",""
"","","","adjudicating_actions","False","","adjudicating actions 27–28",""
"","","","advancement_speeds","False","","advancement speeds 57",""
"","","","adventure","False","","adventure A single narrative — including the setup, plot, and conclusion. The player haracters play through an adventure over the course of one or more game sessions, and the adventure might be part of a larger campaign.",""
"","","","adventure_design","False","","adventure design 68–74",""
"","","","adventure_recipes","False","","adventure recipes 68–71",""
"","","","Paizo_s_published_adventures","False","","Paizo’s published adventures 9",""
"","","","preparing_adventures","False","","preparing adventures 8–9",""
"","","","story_arcs","False","","story arcs 73",""
"","","","threats","False","","threats 71–72",""
"","","","aeon","False","","aeon (trait) These monitors are the self-styled defenders of reality. Traditional eons have dualistic natures and forms, and they hold a dichotomy of interests, though axiomites and inevitables don’t. Aeons other than axiomites and inevitables communicate via a strange telepathic hodgepodge of sensory sending called envisioning.",""
"","","","aerial_combat","False","","aerial combat 30, PC 437",""
"","","","affliction","False","","affliction An affliction can affect a creature for a long time, over several different stages. The most common kinds are curses, diseases, and poisons. 86–89, PC 430–431",""
"","","","Age_of_Lost_Omens","False","","Age of Lost Omens 143–181",""
"","","","agile","False","","agile (weapon trait) The multiple attack penalty you take with this weapon on the second attack on your turn is –4 instead of –5, and –8 instead of –10 on the third and subsequent attacks in the turn.",""
"","","","air","False","","air (trait) Effects with the air trait either manipulate or conjure air. Those that manipulate air have no effect in a vacuum or an area without air. Creatures with this trait consist primarily of air or have a connection to magical air. 173",""
"","","","Akiton","False","","Akiton 145",""
"","","","alchemical","False","","alchemical (trait) 221, 244–251 (items)",""
"","","","bombs","False","","bombs 244–245",""
"","","","elixirs","False","","elixirs 246–247",""
"","","","poisons","False","","poisons 248–250",""
"","","","tools","False","","tools 251",""
"","","","alchemical","False","","alchemical (vehicle propulsion trait) 211",""
"","","","alghollthu","False","","alghollthu 160",""
"","","","Alkenstar","False","","Alkenstar 151",""
"","","","ammunition","False","","ammunition (magic item) 255–256",""
"","","","amphibious","False","","amphibious (trait) An amphibious creature can breathe in water and in air, even outside of its preferred environment, usually indefinitely but at least for hours. These creatures often have a swim Speed. Their bludgeoning and slashing unarmed Strikes don’t take the usual –2 penalty for being underwater.",""
"","","","Anastasia","False","","Anastasia 154",""
"","","","Andoran","False","","Andoran 153, 155, 167",""
"","","","angel","False","","angel (trait) This family of celestials is native to the plane of Nirvana. Most angels are holy, have darkvision, and have a weakness to unholy.",""
"","","","animal","False","","animal (trait) An animal is a creature with a relatively low intelligence. It typically doesn’t have an Intelligence attribute modifier over –4, can’t speak languages, and can’t be trained in Intelligence-based skills.",""
"","","","apex","False","","apex (trait) 270",""
"","","","apex_item","False","","apex item (magic item) 270–271",""
"","","","aquatic","False","","aquatic (trait) Aquatic creatures are at home underwater. Their bludgeoning and slashing unarmed Strikes don’t take the usual –2 penalty for being underwater. Aquatic creatures can breathe water but not air.",""
"","","","aquatic_combat","False","","aquatic combat 30–31",""
"","","","AR__Absalom_reckoning","False","","AR (Absalom reckoning) 144",""
"","","","Arazni","False","","Arazni 151",""
"","","","Arcadia","False","","Arcadia 145",""
"","","","Arcadian_Ocean","False","","Arcadian Ocean 150",""
"","","","arcane","False","","arcane (trait) This magic comes from the arcane tradition, which is built on logic and rationality. Anything with this trait is magical.",""
"","","","archetype","False","","archetype A special additional theme for your character that you can choose using your class feats. PC 215–223",""
"","","","free_archetype_variant","False","","free archetype variant 84",""
"","","","archon","False","","archon (trait) Members of this family of celestials are the protectors of Heaven and are holy. They have darkvision and a weakness to unholy.",""
"","","","Arclords_of_Nex","False","","Arclords of Nex 151",""
"","","","Armies_of_Exploration","False","","Armies of Exploration 155",""
"","","","armor","False","","armor (magic item) 226–231, PC 271–273",""
"","","","Aroden","False","","Aroden 143, 144, 148",""
"","","","art_objects___gems","False","","art objects & gems 298–299",""
