location,source,target,id,fuzzy,context,translator_comments,developer_comments
https://pathfinderwiki.com/wiki/Aaminiut,Aaminiut,,,,,,
https://pathfinderwiki.com/wiki/Aaramor,Aaramor,,,,,,
https://pathfinderwiki.com/wiki/Abberton,Abberton,,,,,,
https://pathfinderwiki.com/wiki/Abken,Abken,,,,,,
https://pathfinderwiki.com/wiki/Absalom,Absalom,,,,,,
https://pathfinderwiki.com/wiki/Acisazi,Acisazi,,,,,,
https://pathfinderwiki.com/wiki/Acorn's_Rest,Acorn's Rest,,,,,,
https://pathfinderwiki.com/wiki/Adhaarm,Adhaarm,,,,,,
https://pathfinderwiki.com/wiki/Adrast,Adrast,,,,,,
https://pathfinderwiki.com/wiki/Akafuto,Akafuto,,,,,,
https://pathfinderwiki.com/wiki/Al-Hiraf,Al-Hiraf,,,,,,
https://pathfinderwiki.com/wiki/Al-Varish,Al-Varish,,,,,,
https://pathfinderwiki.com/wiki/Alabastrine,Alabastrine,,,,,,
https://pathfinderwiki.com/wiki/Albatross,Albatross,,,,,,
https://pathfinderwiki.com/wiki/Alendruan_Harbor,Alendruan Harbor,,,,,,
https://pathfinderwiki.com/wiki/Algidheart,Algidheart,,,,,,
https://pathfinderwiki.com/wiki/Alkenstar_City,Alkenstar City,,,,,,
https://pathfinderwiki.com/wiki/Almas,Almas,,,,,,
https://pathfinderwiki.com/wiki/Alvis,Alvis,,,,,,
https://pathfinderwiki.com/wiki/An,An,,,,,,
https://pathfinderwiki.com/wiki/An-Alak,An-Alak,,,,,,
https://pathfinderwiki.com/wiki/Anactoria,Anactoria,,,,,,
https://pathfinderwiki.com/wiki/Anthusis,Anthusis,,,,,,
https://pathfinderwiki.com/wiki/Antoll,Antoll,,,,,,
https://pathfinderwiki.com/wiki/Anuli,Anuli,,,,,,
https://pathfinderwiki.com/wiki/Apertan,Apertan,,,,,,
https://pathfinderwiki.com/wiki/Aphet_East,Aphet East,,,,,,
https://pathfinderwiki.com/wiki/Ardagh,Ardagh,,,,,,
https://pathfinderwiki.com/wiki/Ardis,Ardis,,,,,,
https://pathfinderwiki.com/wiki/Arena,Arena,,,,,,
https://pathfinderwiki.com/wiki/Arsmeril,Arsmeril,,,,,,
https://pathfinderwiki.com/wiki/Artume,Artume,,,,,,
https://pathfinderwiki.com/wiki/Arwyll_Stead,Arwyll Stead,,,,,,
https://pathfinderwiki.com/wiki/Ash_Hollow,Ash Hollow,,,,,,
https://pathfinderwiki.com/wiki/Asleifar,Asleifar,,,,,,
https://pathfinderwiki.com/wiki/Aspenthar,Aspenthar,,,,,,
https://pathfinderwiki.com/wiki/Asre,Asre,,,,,,
https://pathfinderwiki.com/wiki/Auginford,Auginford,,,,,,
https://pathfinderwiki.com/wiki/Augustana,Augustana,,,,,,
https://pathfinderwiki.com/wiki/Avendale,Avendale,,,,,,
https://pathfinderwiki.com/wiki/Avennara,Avennara,,,,,,
https://pathfinderwiki.com/wiki/Averaka,Averaka,,,,,,
https://pathfinderwiki.com/wiki/Avilan,Avilan,,,,,,
https://pathfinderwiki.com/wiki/Ayajinbo,Ayajinbo,,,,,,
https://pathfinderwiki.com/wiki/Ayesh,Ayesh,,,,,,
https://pathfinderwiki.com/wiki/Azad,Azad,,,,,,
https://pathfinderwiki.com/wiki/Azir,Azir,,,,,,
https://pathfinderwiki.com/wiki/Azurestone,Azurestone,,,,,,
https://pathfinderwiki.com/wiki/Babschu-Jong,Babschu-Jong,,,,,,
https://pathfinderwiki.com/wiki/Bacul_Gruii,Bacul Gruii,,,,,,
https://pathfinderwiki.com/wiki/Badelund,Badelund,,,,,,
https://pathfinderwiki.com/wiki/Baghava,Baghava,,,,,,
https://pathfinderwiki.com/wiki/Baldachin,Baldachin,,,,,,
https://pathfinderwiki.com/wiki/Banukmaud,Banukmaud,,,,,,
https://pathfinderwiki.com/wiki/Baslwief,Baslwief,,,,,,
https://pathfinderwiki.com/wiki/Beachcomber,Beachcomber,,,,,,
https://pathfinderwiki.com/wiki/Belde,Belde,,,,,,
https://pathfinderwiki.com/wiki/Belhaim,Belhaim,,,,,,
https://pathfinderwiki.com/wiki/Belila,Belila,,,,,,
https://pathfinderwiki.com/wiki/Bellis,Bellis,,,,,,
https://pathfinderwiki.com/wiki/Berus,Berus,,,,,,
https://pathfinderwiki.com/wiki/Bildt,Bildt,,,,,,
https://pathfinderwiki.com/wiki/Biston,Biston,,,,,,
https://pathfinderwiki.com/wiki/Bitter_Hollow,Bitter Hollow,,,,,,
https://pathfinderwiki.com/wiki/Blackblood_Cay,Blackblood Cay,,,,,,
https://pathfinderwiki.com/wiki/Blackcove,Blackcove,,,,,,
https://pathfinderwiki.com/wiki/Blackpipe,Blackpipe,,,,,,
https://pathfinderwiki.com/wiki/Blackridge,Blackridge,,,,,,
https://pathfinderwiki.com/wiki/Blackwood_Moot,Blackwood Moot,,,,,,
https://pathfinderwiki.com/wiki/Blisterwell,Blisterwell,,,,,,
https://pathfinderwiki.com/wiki/Bloodcove,Bloodcove,,,,,,
https://pathfinderwiki.com/wiki/Bluestone,Bluestone,,,,,,
https://pathfinderwiki.com/wiki/Bogsbridge,Bogsbridge,,,,,,
https://pathfinderwiki.com/wiki/Bolgrad,Bolgrad,,,,,,
https://pathfinderwiki.com/wiki/Bosco,Bosco,,,,,,
https://pathfinderwiki.com/wiki/Bosorka,Bosorka,,,,,,
https://pathfinderwiki.com/wiki/Botosani,Botosani,,,,,,
