location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Salt Stretch,Salt Stretch,,,,https://pathfinderwiki.com/wiki/Salt_Stretch,
,Narhari Desert,Narhari Desert,,,,https://pathfinderwiki.com/wiki/Narhari_Desert,
,Meraz Desert,Meraz Desert,,,,https://pathfinderwiki.com/wiki/Meraz_Desert,
,Winterwall Glacier,Winterwall Glacier,,,,https://pathfinderwiki.com/wiki/Winterwall_Glacier,
,The High Ice,The High Ice,,,,https://pathfinderwiki.com/wiki/The_High_Ice,
,Rajni Fields,Rajni Fields,,,,https://pathfinderwiki.com/wiki/Rajni_Fields,
,Veedesha,Veedesha,,,,https://pathfinderwiki.com/wiki/Veedesha,
,Grand Sarret,Grand Sarret,,,,https://pathfinderwiki.com/wiki/Grand_Sarret,
,Kaina Katakha,Kaina Katakha,,,,https://pathfinderwiki.com/wiki/Kaina_Katakha,
,Bagia Bay,Bagia Bay,,,,https://pathfinderwiki.com/wiki/Bagia_Bay,
,Obari Ocean,Obari Ocean,,,,https://pathfinderwiki.com/wiki/Obari_Ocean,
,Embaral Ocean,Embaral Ocean,,,,https://pathfinderwiki.com/wiki/Embaral_Ocean,
,Whitefang Bay,Whitefang Bay,,,,https://pathfinderwiki.com/wiki/Whitefang_Bay,
,Gulf of Svallmundr,Gulf of Svallmundr,,,,https://pathfinderwiki.com/wiki/Gulf_of_Svallmundr,
,Betul Sea,Betul Sea,,,,https://pathfinderwiki.com/wiki/Betul_Sea,
,Gulf of Khorkii,Gulf of Khorkii,,,,https://pathfinderwiki.com/wiki/Gulf_of_Khorkii,
,Inner Sea,Inner Sea,,,,https://pathfinderwiki.com/wiki/Inner_Sea,
,Desperation Bay,Desperation Bay,,,,https://pathfinderwiki.com/wiki/Desperation_Bay,
,Fever Sea,Fever Sea,,,,https://pathfinderwiki.com/wiki/Fever_Sea,
,Ivory Sea,Ivory Sea,,,,https://pathfinderwiki.com/wiki/Ivory_Sea,
,Okaiyo Ocean,Okaiyo Ocean,,,,https://pathfinderwiki.com/wiki/Okaiyo_Ocean,
,Arcadian Ocean,Arcadian Ocean,,,,https://pathfinderwiki.com/wiki/Arcadian_Ocean,
,Antarkos Ocean,Antarkos Ocean,,,,https://pathfinderwiki.com/wiki/Antarkos_Ocean,
,Sapphire Sound,Sapphire Sound,,,,https://pathfinderwiki.com/wiki/Sapphire_Sound,
,Aokori Gulf,Aokori Gulf,,,,https://pathfinderwiki.com/wiki/Aokori_Gulf,
,Steaming Sea,Steaming Sea,,,,https://pathfinderwiki.com/wiki/Steaming_Sea,
,Valashmai Sea,Valashmai Sea,,,,https://pathfinderwiki.com/wiki/Valashmai_Sea,
,Aspo Bay,Aspo Bay,,,,https://pathfinderwiki.com/wiki/Aspo_Bay,
,Avalon Bay,Avalon Bay,,,,https://pathfinderwiki.com/wiki/Avalon_Bay,
,Banuk Bay,Banuk Bay,,,,https://pathfinderwiki.com/wiki/Banuk_Bay,
,Gemcrown Bay,Gemcrown Bay,,,,https://pathfinderwiki.com/wiki/Gemcrown_Bay,
,Bay of Solva,Bay of Solva,,,,https://pathfinderwiki.com/wiki/Bay_of_Solva,
,Bay of Deng,Bay of Deng,,,,https://pathfinderwiki.com/wiki/Bay_of_Deng,
,Benchu Bay,Benchu Bay,,,,https://pathfinderwiki.com/wiki/Benchu_Bay,
,Broken Bay,Broken Bay,,,,https://pathfinderwiki.com/wiki/Broken_Bay,
,Bunyip Bay,Bunyip Bay,,,,https://pathfinderwiki.com/wiki/Bunyip_Bay,
,Conqueror's Bay,Conqueror's Bay,,,,https://pathfinderwiki.com/wiki/Conqueror's_Bay,
,Nisroch Bay,Nisroch Bay,,,,https://pathfinderwiki.com/wiki/Nisroch_Bay,
,Varisian Gulf,Varisian Gulf,,,,https://pathfinderwiki.com/wiki/Varisian_Gulf,
,Hellmouth Gulf,Hellmouth Gulf,,,,https://pathfinderwiki.com/wiki/Hellmouth_Gulf,
,Jellicoe Bay,Jellicoe Bay,,,,https://pathfinderwiki.com/wiki/Jellicoe_Bay,
,Winterbreak Bay,Winterbreak Bay,,,,https://pathfinderwiki.com/wiki/Winterbreak_Bay,
,Star Bay,Star Bay,,,,https://pathfinderwiki.com/wiki/Star_Bay,
,Jeopardy Bay,Jeopardy Bay,,,,https://pathfinderwiki.com/wiki/Jeopardy_Bay,
,Gulf of Accord,Gulf of Accord,,,,https://pathfinderwiki.com/wiki/Gulf_of_Accord,
,Houcam's Bay,Houcam's Bay,,,,https://pathfinderwiki.com/wiki/Houcam's_Bay,
,Kardaji Bay,Kardaji Bay,,,,https://pathfinderwiki.com/wiki/Kardaji_Bay,
,Naikang Bay,Naikang Bay,,,,https://pathfinderwiki.com/wiki/Naikang_Bay,
,Isle of Arenway,Isle of Arenway,,,,https://pathfinderwiki.com/wiki/Isle_of_Arenway,
,Ironbound Archipelago,Ironbound Archipelago,,,,https://pathfinderwiki.com/wiki/Ironbound_Archipelago,
