"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Salt Stretch","","","False","","https://pathfinderwiki.com/wiki/Salt_Stretch",""
"","Narhari Desert","","","False","","https://pathfinderwiki.com/wiki/Narhari_Desert",""
"","Meraz Desert","","","False","","https://pathfinderwiki.com/wiki/Meraz_Desert",""
"","Winterwall Glacier","","","False","","https://pathfinderwiki.com/wiki/Winterwall_Glacier",""
"","The High Ice","","","False","","https://pathfinderwiki.com/wiki/The_High_Ice",""
"","Rajni Fields","","","False","","https://pathfinderwiki.com/wiki/Rajni_Fields",""
"","Veedesha","","","False","","https://pathfinderwiki.com/wiki/Veedesha",""
"","Grand Sarret","","","False","","https://pathfinderwiki.com/wiki/Grand_Sarret",""
"","Kaina Katakha","","","False","","https://pathfinderwiki.com/wiki/Kaina_Katakha",""
"","Bagia Bay","","","False","","https://pathfinderwiki.com/wiki/Bagia_Bay",""
"","Obari Ocean","","","False","","https://pathfinderwiki.com/wiki/Obari_Ocean",""
"","Embaral Ocean","","","False","","https://pathfinderwiki.com/wiki/Embaral_Ocean",""
"","Whitefang Bay","","","False","","https://pathfinderwiki.com/wiki/Whitefang_Bay",""
"","Gulf of Svallmundr","","","False","","https://pathfinderwiki.com/wiki/Gulf_of_Svallmundr",""
"","Betul Sea","","","False","","https://pathfinderwiki.com/wiki/Betul_Sea",""
"","Gulf of Khorkii","","","False","","https://pathfinderwiki.com/wiki/Gulf_of_Khorkii",""
"","Inner Sea","","","False","","https://pathfinderwiki.com/wiki/Inner_Sea",""
"","Desperation Bay","","","False","","https://pathfinderwiki.com/wiki/Desperation_Bay",""
"","Fever Sea","","","False","","https://pathfinderwiki.com/wiki/Fever_Sea",""
"","Ivory Sea","","","False","","https://pathfinderwiki.com/wiki/Ivory_Sea",""
"","Okaiyo Ocean","","","False","","https://pathfinderwiki.com/wiki/Okaiyo_Ocean",""
"","Arcadian Ocean","","","False","","https://pathfinderwiki.com/wiki/Arcadian_Ocean",""
"","Antarkos Ocean","","","False","","https://pathfinderwiki.com/wiki/Antarkos_Ocean",""
"","Sapphire Sound","","","False","","https://pathfinderwiki.com/wiki/Sapphire_Sound",""
"","Aokori Gulf","","","False","","https://pathfinderwiki.com/wiki/Aokori_Gulf",""
"","Steaming Sea","","","False","","https://pathfinderwiki.com/wiki/Steaming_Sea",""
"","Valashmai Sea","","","False","","https://pathfinderwiki.com/wiki/Valashmai_Sea",""
"","Aspo Bay","","","False","","https://pathfinderwiki.com/wiki/Aspo_Bay",""
"","Avalon Bay","","","False","","https://pathfinderwiki.com/wiki/Avalon_Bay",""
"","Banuk Bay","","","False","","https://pathfinderwiki.com/wiki/Banuk_Bay",""
"","Gemcrown Bay","","","False","","https://pathfinderwiki.com/wiki/Gemcrown_Bay",""
"","Bay of Solva","","","False","","https://pathfinderwiki.com/wiki/Bay_of_Solva",""
"","Bay of Deng","","","False","","https://pathfinderwiki.com/wiki/Bay_of_Deng",""
"","Benchu Bay","","","False","","https://pathfinderwiki.com/wiki/Benchu_Bay",""
"","Broken Bay","","","False","","https://pathfinderwiki.com/wiki/Broken_Bay",""
"","Bunyip Bay","","","False","","https://pathfinderwiki.com/wiki/Bunyip_Bay",""
"","Conqueror's Bay","","","False","","https://pathfinderwiki.com/wiki/Conqueror's_Bay",""
"","Nisroch Bay","","","False","","https://pathfinderwiki.com/wiki/Nisroch_Bay",""
"","Varisian Gulf","","","False","","https://pathfinderwiki.com/wiki/Varisian_Gulf",""
"","Hellmouth Gulf","","","False","","https://pathfinderwiki.com/wiki/Hellmouth_Gulf",""
"","Jellicoe Bay","","","False","","https://pathfinderwiki.com/wiki/Jellicoe_Bay",""
"","Winterbreak Bay","","","False","","https://pathfinderwiki.com/wiki/Winterbreak_Bay",""
"","Star Bay","","","False","","https://pathfinderwiki.com/wiki/Star_Bay",""
"","Jeopardy Bay","","","False","","https://pathfinderwiki.com/wiki/Jeopardy_Bay",""
"","Gulf of Accord","","","False","","https://pathfinderwiki.com/wiki/Gulf_of_Accord",""
"","Houcam's Bay","","","False","","https://pathfinderwiki.com/wiki/Houcam's_Bay",""
"","Kardaji Bay","","","False","","https://pathfinderwiki.com/wiki/Kardaji_Bay",""
"","Naikang Bay","","","False","","https://pathfinderwiki.com/wiki/Naikang_Bay",""
"","Isle of Arenway","","","False","","https://pathfinderwiki.com/wiki/Isle_of_Arenway",""
"","Ironbound Archipelago","","","False","","https://pathfinderwiki.com/wiki/Ironbound_Archipelago",""
"","Cape Almhult","","","False","","https://pathfinderwiki.com/wiki/Cape_Almhult",""
"","Whitefang Penninsula","","","False","","https://pathfinderwiki.com/wiki/Whitefang_Penninsula",""
"","Tashen Yakuta","","","False","","https://pathfinderwiki.com/wiki/Tashen_Yakuta",""
"","Thremyr's Shield","","","False","","https://pathfinderwiki.com/wiki/Thremyr's_Shield",""
"","Shining Sea","","","False","","https://pathfinderwiki.com/wiki/Shining_Sea",""
"","Atnumees Sea","","","False","","https://pathfinderwiki.com/wiki/Atnumees_Sea",""
"","Shraedar Peninsula","","","False","","https://pathfinderwiki.com/wiki/Shraedar_Peninsula",""
"","Xu Hong Bay","","","False","","https://pathfinderwiki.com/wiki/Xu_Hong_Bay",""
"","Sorui Gulf","","","False","","https://pathfinderwiki.com/wiki/Sorui_Gulf",""
"","Songil Sea","","","False","","https://pathfinderwiki.com/wiki/Songil_Sea",""
"","Ningyo Gulf","","","False","","https://pathfinderwiki.com/wiki/Ningyo_Gulf",""
"","The Caemorin","","","False","","https://pathfinderwiki.com/wiki/The_Caemorin",""
"","The Shackles","","","False","","https://pathfinderwiki.com/wiki/The_Shackles",""
"","Garnet Island","","","False","","https://pathfinderwiki.com/wiki/Garnet_Island",""
"","Glengarnie Chain","","","False","","https://pathfinderwiki.com/wiki/Glengarnie_Chain",""
"","Raptor Island","","","False","","https://pathfinderwiki.com/wiki/Raptor_Island",""
"","Shark Island","","","False","","https://pathfinderwiki.com/wiki/Shark_Island",""
"","Island of Empty Eyes","","","False","","https://pathfinderwiki.com/wiki/Island_of_Empty_Eyes",""
"","Rampore Isles","","","False","","https://pathfinderwiki.com/wiki/Rampore_Isles",""
"","Nalt's Island","","","False","","https://pathfinderwiki.com/wiki/Nalt's_Island",""
"","Kepre Dua","","","False","","https://pathfinderwiki.com/wiki/Kepre_Dua",""
"","Bag Island","","","False","","https://pathfinderwiki.com/wiki/Bag_Island",""
"","Ushinawa Isles","","","False","","https://pathfinderwiki.com/wiki/Ushinawa_Isles",""
"","Pangalley Atoll","","","False","","https://pathfinderwiki.com/wiki/Pangalley_Atoll",""
"","Besmara's Throne","","","False","","https://pathfinderwiki.com/wiki/Besmara's_Throne",""
"","Ragsmauda's Reach","","","False","","https://pathfinderwiki.com/wiki/Ragsmauda's_Reach",""
"","Fernlat's Islet","","","False","","https://pathfinderwiki.com/wiki/Fernlat's_Islet",""
"","Dagon's Jaws","","","False","","https://pathfinderwiki.com/wiki/Dagon's_Jaws",""
"","Taldas Isle","","","False","","https://pathfinderwiki.com/wiki/Taldas_Isle",""
"","Motaku Isle","","","False","","https://pathfinderwiki.com/wiki/Motaku_Isle",""
"","Cannibal Isles","","","False","","https://pathfinderwiki.com/wiki/Cannibal_Isles",""
"","Island of the Black Tower","","","False","","https://pathfinderwiki.com/wiki/Island_of_the_Black_Tower",""
"","Shenchu Bay","","","False","","https://pathfinderwiki.com/wiki/Shenchu_Bay",""
"","Dahak's Tooth","","","False","","https://pathfinderwiki.com/wiki/Dahak's_Tooth",""
"","Dahak's Horn","","","False","","https://pathfinderwiki.com/wiki/Dahak's_Horn",""
"","Dahak's Fang","","","False","","https://pathfinderwiki.com/wiki/Dahak's_Fang",""
"","Sarenvent","","","False","","https://pathfinderwiki.com/wiki/Sarenvent",""
"","Culp's Menagerie","","","False","","https://pathfinderwiki.com/wiki/Culp's_Menagerie",""
"","Darguro Plate","","","False","","https://pathfinderwiki.com/wiki/Darguro_Plate",""
"","Widowmaker Isle","","","False","","https://pathfinderwiki.com/wiki/Widowmaker_Isle",""
"","Tempest Cay","","","False","","https://pathfinderwiki.com/wiki/Tempest_Cay",""
"","Whyrlis Rock","","","False","","https://pathfinderwiki.com/wiki/Whyrlis_Rock",""
"","Devil's Arches","","","False","","https://pathfinderwiki.com/wiki/Devil's_Arches",""
"","Ungoro Tedar","","","False","","https://pathfinderwiki.com/wiki/Ungoro_Tedar",""
"","Yoha's Graveyard","","","False","","https://pathfinderwiki.com/wiki/Yoha's_Graveyard",""
"","Bhudrek Atoll","","","False","","https://pathfinderwiki.com/wiki/Bhudrek_Atoll",""
"","Isle of Consummations","","","False","","https://pathfinderwiki.com/wiki/Isle_of_Consummations",""
