location,source,target,id,fuzzy,context,translator_comments,developer_comments
https://pathfinderwiki.com/wiki/Acropolis_of_the_Thrallkeepers,Acropolis of the Thrallkeepers,,,,,,
https://pathfinderwiki.com/wiki/Adamas,Adamas,,,,,,
https://pathfinderwiki.com/wiki/Adorak,Adorak,,,,,,
https://pathfinderwiki.com/wiki/Aerduin's_Folly,Aerduin's Folly,,,,,,
https://pathfinderwiki.com/wiki/Aerie_of_Bloodletting_Songs,Aerie of Bloodletting Songs,,,,,,
https://pathfinderwiki.com/wiki/Aevolar's_Crossing,Aevolar's Crossing,,,,,,
https://pathfinderwiki.com/wiki/Ahn'Selota,Ahn'Selota,,,,,,
https://pathfinderwiki.com/wiki/Ajitesh_Valley,Ajitesh Valley,,,,,,
https://pathfinderwiki.com/wiki/Al-Bashir,Al-Bashir,,,,,,
https://pathfinderwiki.com/wiki/Altan_Zuud,Altan Zuud,,,,,,
https://pathfinderwiki.com/wiki/Androsphinx_of_Zukebri,Androsphinx of Zukebri,,,,,,
https://pathfinderwiki.com/wiki/Antios's_Crown,Antios's Crown,,,,,,
https://pathfinderwiki.com/wiki/Aphet_Mines,Aphet Mines,,,,,,
https://pathfinderwiki.com/wiki/Arabrecht,Arabrecht,,,,,,
https://pathfinderwiki.com/wiki/Arazlant_Mox,Arazlant Mox,,,,,,
https://pathfinderwiki.com/wiki/Aroden's_Eye,Aroden's Eye,,,,,,
https://pathfinderwiki.com/wiki/PathfinderWiki:Map_Locations_Without_Articles,Aroden's Rest,,,,,,
https://pathfinderwiki.com/wiki/Arzikal,Arzikal,,,,,,
https://pathfinderwiki.com/wiki/Ascanor_Lodge,Ascanor Lodge,,,,,,
https://pathfinderwiki.com/wiki/Ashen_Bulwark,Ashen Bulwark,,,,,,
https://pathfinderwiki.com/wiki/Asmodeus_Mirage,Asmodeus Mirage,,,,,,
https://pathfinderwiki.com/wiki/Asuulek's_Mouth,Asuulek's Mouth,,,,,,
https://pathfinderwiki.com/wiki/Atteran_Ranches,Atteran Ranches,,,,,,
https://pathfinderwiki.com/wiki/Bafra's_Face,Bafra's Face,,,,,,
https://pathfinderwiki.com/wiki/Barrowmoor,Barrowmoor,,,,,,
https://pathfinderwiki.com/wiki/Bastardhall,Bastardhall,,,,,,
https://pathfinderwiki.com/wiki/Bastion_of_Light,Bastion of Light,,,,,,
https://pathfinderwiki.com/wiki/Battle_of_Falheart,Battle of Falheart,,,,,,
https://pathfinderwiki.com/wiki/Battle_of_Grasyhot,Battle of Grasyhot,,,,,,
https://pathfinderwiki.com/wiki/Battle_of_the_Burning_Child,Battle of the Burning Child,,,,,,
https://pathfinderwiki.com/wiki/Bearleg_Lakes,Bearleg Lakes,,,,,,
https://pathfinderwiki.com/wiki/Beehive,Beehive,,,,,,
https://pathfinderwiki.com/wiki/Berm,Berm,,,,,,
https://pathfinderwiki.com/wiki/Besmara's_Temple,Besmara's Temple,,,,,,
https://pathfinderwiki.com/wiki/Betony_Estate,Betony Estate,,,,,,
https://pathfinderwiki.com/wiki/Bhula_Prison,Bhula Prison,,,,,,
https://pathfinderwiki.com/wiki/Black_Forks,Black Forks,,,,,,
https://pathfinderwiki.com/wiki/Black_Ink_Lake,Black Ink Lake,,,,,,
https://pathfinderwiki.com/wiki/Black_Tarn,Black Tarn,,,,,,
https://pathfinderwiki.com/wiki/Black_Tower,Black Tower,,,,,,
https://pathfinderwiki.com/wiki/Blackraven_Hall,Blackraven Hall,,,,,,
https://pathfinderwiki.com/wiki/Blacksulfur_Pond,Blacksulfur Pond,,,,,,
https://pathfinderwiki.com/wiki/Bleachbone_Cave,Bleachbone Cave,,,,,,
https://pathfinderwiki.com/wiki/Blood_Fountain,Blood Fountain,,,,,,
https://pathfinderwiki.com/wiki/Bloodsalt,Bloodsalt,,,,,,
https://pathfinderwiki.com/wiki/Boali,Boali,,,,,,
https://pathfinderwiki.com/wiki/Bodie's_Haunt,Bodie's Haunt,,,,,,
https://pathfinderwiki.com/wiki/Boiling_Maw,Boiling Maw,,,,,,
https://pathfinderwiki.com/wiki/Bone_Garden,Bone Garden,,,,,,
https://pathfinderwiki.com/wiki/Bos-Phargrumm,Bos-Phargrumm,,,,,,
https://pathfinderwiki.com/wiki/Braughleigh's_Hollow,Braughleigh's Hollow,,,,,,
https://pathfinderwiki.com/wiki/Brimstone_Falls,Brimstone Falls,,,,,,
https://pathfinderwiki.com/wiki/Brimstone_Haruspex,Brimstone Haruspex,,,,,,
https://pathfinderwiki.com/wiki/Broken_Bridge,Broken Bridge,,,,,,
https://pathfinderwiki.com/wiki/Broken_Hook,Broken Hook,,,,,,
https://pathfinderwiki.com/wiki/Broken_Shield_Castle,Broken Shield Castle,,,,,,
https://pathfinderwiki.com/wiki/Broken_Shore,Broken Shore,,,,,,
https://pathfinderwiki.com/wiki/Cairn_of_Attai_Horse-Speaker,Cairn of Attai Horse-Speaker,,,,,,
https://pathfinderwiki.com/wiki/Candlehalls,Candlehalls,,,,,,
https://pathfinderwiki.com/wiki/Candlemere_Tower,Candlemere Tower,,,,,,
https://pathfinderwiki.com/wiki/Candlestone_Caverns,Candlestone Caverns,,,,,,
https://pathfinderwiki.com/wiki/Canter_House,Canter House,,,,,,
https://pathfinderwiki.com/wiki/Caruskei,Caruskei,,,,,,
https://pathfinderwiki.com/wiki/Casnoriva,Casnoriva,,,,,,
https://pathfinderwiki.com/wiki/Castle_Andachi,Castle Andachi,,,,,,
https://pathfinderwiki.com/wiki/Castle_Corvischior,Castle Corvischior,,,,,,
https://pathfinderwiki.com/wiki/Castle_Kronquist,Castle Kronquist,,,,,,
https://pathfinderwiki.com/wiki/Castle_Penatha,Castle Penatha,,,,,,
https://pathfinderwiki.com/wiki/Castle_of_the_Captive_Sun,Castle of the Captive Sun,,,,,,
https://pathfinderwiki.com/wiki/Cathedral_of_Claws,Cathedral of Claws,,,,,,
