"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Acropolis of the Thrallkeepers","","","False","","https://pathfinderwiki.com/wiki/Acropolis_of_the_Thrallkeepers",""
"","Adamas","Адамас","","False","","https://pathfinderwiki.com/wiki/Adamas",""
"","Adorak","","","False","","https://pathfinderwiki.com/wiki/Adorak",""
"","Aerduin's Folly","","","False","","https://pathfinderwiki.com/wiki/Aerduin's_Folly",""
"","Aerie of Bloodletting Songs","","","False","","https://pathfinderwiki.com/wiki/Aerie_of_Bloodletting_Songs",""
"","Aevolar's Crossing","","","False","","https://pathfinderwiki.com/wiki/Aevolar's_Crossing",""
"","Ahn'Selota","","","False","","https://pathfinderwiki.com/wiki/Ahn'Selota",""
"","Ajitesh Valley","","","False","","https://pathfinderwiki.com/wiki/Ajitesh_Valley",""
"","Al-Bashir","","","False","","https://pathfinderwiki.com/wiki/Al-Bashir",""
"","Altan Zuud","","","False","","https://pathfinderwiki.com/wiki/Altan_Zuud",""
"","Androsphinx of Zukebri","","","False","","https://pathfinderwiki.com/wiki/Androsphinx_of_Zukebri",""
"","Antios's Crown","","","False","","https://pathfinderwiki.com/wiki/Antios's_Crown",""
"","Aphet Mines","","","False","","https://pathfinderwiki.com/wiki/Aphet_Mines",""
"","Arabrecht","","","False","","https://pathfinderwiki.com/wiki/Arabrecht",""
"","Arazlant Mox","","","False","","https://pathfinderwiki.com/wiki/Arazlant_Mox",""
"","Aroden's Eye","","","False","","https://pathfinderwiki.com/wiki/Aroden's_Eye",""
"","Aroden's Rest","","","False","","https://pathfinderwiki.com/wiki/PathfinderWiki:Map_Locations_Without_Articles",""
"","Arzikal","","","False","","https://pathfinderwiki.com/wiki/Arzikal",""
"","Ascanor Lodge","","","False","","https://pathfinderwiki.com/wiki/Ascanor_Lodge",""
"","Ashen Bulwark","","","False","","https://pathfinderwiki.com/wiki/Ashen_Bulwark",""
"","Asmodeus Mirage","","","False","","https://pathfinderwiki.com/wiki/Asmodeus_Mirage",""
"","Asuulek's Mouth","","","False","","https://pathfinderwiki.com/wiki/Asuulek's_Mouth",""
"","Atteran Ranches","","","False","","https://pathfinderwiki.com/wiki/Atteran_Ranches",""
"","Bafra's Face","","","False","","https://pathfinderwiki.com/wiki/Bafra's_Face",""
"","Barrowmoor","","","False","","https://pathfinderwiki.com/wiki/Barrowmoor",""
"","Bastardhall","","","False","","https://pathfinderwiki.com/wiki/Bastardhall",""
"","Bastion of Light","","","False","","https://pathfinderwiki.com/wiki/Bastion_of_Light",""
"","Battle of Falheart","","","False","","https://pathfinderwiki.com/wiki/Battle_of_Falheart",""
"","Battle of Grasyhot","","","False","","https://pathfinderwiki.com/wiki/Battle_of_Grasyhot",""
"","Battle of the Burning Child","","","False","","https://pathfinderwiki.com/wiki/Battle_of_the_Burning_Child",""
"","Bearleg Lakes","","","False","","https://pathfinderwiki.com/wiki/Bearleg_Lakes",""
"","Beehive","","","False","","https://pathfinderwiki.com/wiki/Beehive",""
"","Berm","","","False","","https://pathfinderwiki.com/wiki/Berm",""
"","Besmara's Temple","","","False","","https://pathfinderwiki.com/wiki/Besmara's_Temple",""
"","Betony Estate","","","False","","https://pathfinderwiki.com/wiki/Betony_Estate",""
"","Bhula Prison","","","False","","https://pathfinderwiki.com/wiki/Bhula_Prison",""
"","Black Forks","","","False","","https://pathfinderwiki.com/wiki/Black_Forks",""
"","Black Ink Lake","","","False","","https://pathfinderwiki.com/wiki/Black_Ink_Lake",""
"","Black Tarn","","","False","","https://pathfinderwiki.com/wiki/Black_Tarn",""
"","Black Tower","","","False","","https://pathfinderwiki.com/wiki/Black_Tower",""
"","Blackraven Hall","","","False","","https://pathfinderwiki.com/wiki/Blackraven_Hall",""
"","Blacksulfur Pond","","","False","","https://pathfinderwiki.com/wiki/Blacksulfur_Pond",""
"","Bleachbone Cave","","","False","","https://pathfinderwiki.com/wiki/Bleachbone_Cave",""
"","Blood Fountain","","","False","","https://pathfinderwiki.com/wiki/Blood_Fountain",""
"","Bloodsalt","","","False","","https://pathfinderwiki.com/wiki/Bloodsalt",""
"","Boali","","","False","","https://pathfinderwiki.com/wiki/Boali",""
"","Bodie's Haunt","","","False","","https://pathfinderwiki.com/wiki/Bodie's_Haunt",""
"","Boiling Maw","","","False","","https://pathfinderwiki.com/wiki/Boiling_Maw",""
"","Bone Garden","","","False","","https://pathfinderwiki.com/wiki/Bone_Garden",""
"","Bos-Phargrumm","","","False","","https://pathfinderwiki.com/wiki/Bos-Phargrumm",""
"","Braughleigh's Hollow","","","False","","https://pathfinderwiki.com/wiki/Braughleigh's_Hollow",""
"","Brimstone Falls","","","False","","https://pathfinderwiki.com/wiki/Brimstone_Falls",""
"","Brimstone Haruspex","","","False","","https://pathfinderwiki.com/wiki/Brimstone_Haruspex",""
"","Broken Bridge","","","False","","https://pathfinderwiki.com/wiki/Broken_Bridge",""
"","Broken Hook","","","False","","https://pathfinderwiki.com/wiki/Broken_Hook",""
"","Broken Shield Castle","","","False","","https://pathfinderwiki.com/wiki/Broken_Shield_Castle",""
"","Broken Shore","","","False","","https://pathfinderwiki.com/wiki/Broken_Shore",""
"","Cairn of Attai Horse-Speaker","","","False","","https://pathfinderwiki.com/wiki/Cairn_of_Attai_Horse-Speaker",""
"","Candlehalls","","","False","","https://pathfinderwiki.com/wiki/Candlehalls",""
"","Candlemere Tower","","","False","","https://pathfinderwiki.com/wiki/Candlemere_Tower",""
"","Candlestone Caverns","","","False","","https://pathfinderwiki.com/wiki/Candlestone_Caverns",""
"","Canter House","","","False","","https://pathfinderwiki.com/wiki/Canter_House",""
"","Caruskei","","","False","","https://pathfinderwiki.com/wiki/Caruskei",""
"","Casnoriva","","","False","","https://pathfinderwiki.com/wiki/Casnoriva",""
"","Castle Andachi","","","False","","https://pathfinderwiki.com/wiki/Castle_Andachi",""
"","Castle Corvischior","","","False","","https://pathfinderwiki.com/wiki/Castle_Corvischior",""
"","Castle Kronquist","","","False","","https://pathfinderwiki.com/wiki/Castle_Kronquist",""
"","Castle Penatha","","","False","","https://pathfinderwiki.com/wiki/Castle_Penatha",""
"","Castle of the Captive Sun","","","False","","https://pathfinderwiki.com/wiki/Castle_of_the_Captive_Sun",""
"","Cathedral of Claws","","","False","","https://pathfinderwiki.com/wiki/Cathedral_of_Claws",""
"","Cathedral of Obalas","","","False","","https://pathfinderwiki.com/wiki/Cathedral_of_Obalas",""
"","Cauldrons of Calm and Calamity","","","False","","https://pathfinderwiki.com/wiki/Cauldrons_of_Calm_and_Calamity",""
"","Cave of a Thousand Stars","","","False","","https://pathfinderwiki.com/wiki/Cave_of_a_Thousand_Stars",""
"","Cavern of the Sacred Shapes","","","False","","https://pathfinderwiki.com/wiki/Cavern_of_the_Sacred_Shapes",""
"","Cayden's Arm","","","False","","https://pathfinderwiki.com/wiki/Cayden's_Arm",""
"","Cecaelia Swirl","","","False","","https://pathfinderwiki.com/wiki/Cecaelia_Swirl",""
"","Cenotaph","","","False","","https://pathfinderwiki.com/wiki/Cenotaph",""
"","Century Root","","","False","","https://pathfinderwiki.com/wiki/Century_Root",""
"","Cerulean Spiral","","","False","","https://pathfinderwiki.com/wiki/Cerulean_Spiral",""
"","Chapel of Guilts","","","False","","https://pathfinderwiki.com/wiki/Chapel_of_Guilts",""
"","Choking Tower","","","False","","https://pathfinderwiki.com/wiki/Choking_Tower",""
"","Chotilema's Boudoir","","","False","","https://pathfinderwiki.com/wiki/Chotilema's_Boudoir",""
"","Chídanza","","","False","","https://pathfinderwiki.com/wiki/Chídanza",""
"","Cindermaw's Feeding Grounds","","","False","","https://pathfinderwiki.com/wiki/Cindermaw's_Feeding_Grounds",""
"","Circle of Hierophants","","","False","","https://pathfinderwiki.com/wiki/Circle_of_Hierophants",""
"","Citadel Altaerein","","","False","","https://pathfinderwiki.com/wiki/Citadel_Altaerein",""
"","Citadel Dinyar","","","False","","https://pathfinderwiki.com/wiki/Citadel_Dinyar",""
"","Citadel Enferac","","","False","","https://pathfinderwiki.com/wiki/Citadel_Enferac",""
"","Citadel Gheisteno","","","False","","https://pathfinderwiki.com/wiki/Citadel_Gheisteno",""
"","Citadel Gheradesca","","","False","","https://pathfinderwiki.com/wiki/Citadel_Gheradesca",""
"","Citadel Krane","","","False","","https://pathfinderwiki.com/wiki/Citadel_Krane",""
"","Citadel Rivad","","","False","","https://pathfinderwiki.com/wiki/Citadel_Rivad",""
"","Citadel Vraid","","","False","","https://pathfinderwiki.com/wiki/Citadel_Vraid",""
"","Citadel of Flame","","","False","","https://pathfinderwiki.com/wiki/Citadel_of_Flame",""
"","Citadel of the Alchemist","","","False","","https://pathfinderwiki.com/wiki/Citadel_of_the_Alchemist",""
"","Citadel of the Weary Sky","","","False","","https://pathfinderwiki.com/wiki/Citadel_of_the_Weary_Sky",""
"","City of Bleeding Stones","","","False","","https://pathfinderwiki.com/wiki/City_of_Bleeding_Stones",""
"","City of Whistling Swords","","","False","","https://pathfinderwiki.com/wiki/City_of_Whistling_Swords",""
"","Clicking Caverns","","","False","","https://pathfinderwiki.com/wiki/Clicking_Caverns",""
"","Cloudreaver Keep","","","False","","https://pathfinderwiki.com/wiki/Cloudreaver_Keep",""
"","Clover's Crossing","","","False","","https://pathfinderwiki.com/wiki/Clover's_Crossing",""
"","Coastal Cairns","","","False","","https://pathfinderwiki.com/wiki/Coastal_Cairns",""
"","Collapsed Halls","","","False","","https://pathfinderwiki.com/wiki/Collapsed_Halls",""
"","Cormegi Manor","","","False","","https://pathfinderwiki.com/wiki/Cormegi_Manor",""
"","Covenant Rock","","","False","","https://pathfinderwiki.com/wiki/Covenant_Rock",""
"","Crabbe Estate","","","False","","https://pathfinderwiki.com/wiki/Crabbe_Estate",""
"","Cradle of Immortality","","","False","","https://pathfinderwiki.com/wiki/Cradle_of_Immortality",""
"","Creeping Watcher","","","False","","https://pathfinderwiki.com/wiki/Creeping_Watcher",""
"","Crimson Citadel","","","False","","https://pathfinderwiki.com/wiki/Crimson_Citadel",""
"","Crimsonlight Dig","","","False","","https://pathfinderwiki.com/wiki/Crimsonlight_Dig",""
"","Crouching Jackal","","","False","","https://pathfinderwiki.com/wiki/Crouching_Jackal",""
"","Crowhollow","","","False","","https://pathfinderwiki.com/wiki/Crowhollow",""
"","Crypt of Angus Amberleg","","","False","","https://pathfinderwiki.com/wiki/Crypt_of_Angus_Amberleg",""
"","Crystalrock","","","False","","https://pathfinderwiki.com/wiki/Crystalrock",""
"","Cutter Canyon","","","False","","https://pathfinderwiki.com/wiki/Cutter_Canyon",""
"","Daigaki Castle","","","False","","https://pathfinderwiki.com/wiki/Daigaki_Castle",""
"","Danaetlugh's Spring","","","False","","https://pathfinderwiki.com/wiki/PathfinderWiki:Map_Locations_Without_Articles",""
"","Darkreach","","","False","","https://pathfinderwiki.com/wiki/Darkreach",""
"","Dauphenal Vineyard","","","False","","https://pathfinderwiki.com/wiki/Dauphenal_Vineyard",""
"","Dawdlefoot Ranch","","","False","","https://pathfinderwiki.com/wiki/Dawdlefoot_Ranch",""
"","Dbede","","","False","","https://pathfinderwiki.com/wiki/Dbede",""
"","Dead Man's Dome","","","False","","https://pathfinderwiki.com/wiki/Dead_Man's_Dome",""
"","Dead Slave Cove","","","False","","https://pathfinderwiki.com/wiki/Dead_Slave_Cove",""
"","Dead Villages","","","False","","https://pathfinderwiki.com/wiki/Dead_Villages",""
"","Deadeye's Haunt","","","False","","https://pathfinderwiki.com/wiki/Deadeye's_Haunt",""
"","Deep Sky","","","False","","https://pathfinderwiki.com/wiki/Deep_Sky",""
"","Deng","","","False","","https://pathfinderwiki.com/wiki/Deng",""
"","Desert's Mouth","","","False","","https://pathfinderwiki.com/wiki/Desert's_Mouth",""
"","Desolation Blade Mounts","","","False","","https://pathfinderwiki.com/wiki/Desolation_Blade_Mounts",""
"","Devi","","","False","","https://pathfinderwiki.com/wiki/Devi",""
"","Devil's Drain","","","False","","https://pathfinderwiki.com/wiki/Devil's_Drain",""
"","Diggen's Rest","","","False","","https://pathfinderwiki.com/wiki/Diggen's_Rest",""
"","Dinosaur Graveyard","","","False","","https://pathfinderwiki.com/wiki/Dinosaur_Graveyard",""
"","Domora","","","False","","https://pathfinderwiki.com/wiki/Domora",""
"","Doorway to the Red Star","","","False","","https://pathfinderwiki.com/wiki/Doorway_to_the_Red_Star",""
"","Dortrot Ranch","","","False","","https://pathfinderwiki.com/wiki/Dortrot_Ranch",""
"","Dragon's Gullet","","","False","","https://pathfinderwiki.com/wiki/Dragon's_Gullet",""
"","Dragonfen","","","False","","https://pathfinderwiki.com/wiki/Dragonfen",""
"","Dragonspring","","","False","","https://pathfinderwiki.com/wiki/PathfinderWiki:Map_Locations_Without_Articles",""
"","Dread Dungeons","","","False","","https://pathfinderwiki.com/wiki/Dread_Dungeons",""
"","Dreamer's Reach","","","False","","https://pathfinderwiki.com/wiki/Dreamer's_Reach",""
"","Driftwood","","","False","","https://pathfinderwiki.com/wiki/Driftwood",""
"","Drillstones","","","False","","https://pathfinderwiki.com/wiki/Drillstones",""
"","Droskar's Crag","","","False","","https://pathfinderwiki.com/wiki/Droskar's_Crag",""
"","Droskar's Crucible","","","False","","https://pathfinderwiki.com/wiki/Droskar's_Crucible",""
"","Drowning Stones","","","False","","https://pathfinderwiki.com/wiki/Drowning_Stones",""
"","Dunholme","","","False","","https://pathfinderwiki.com/wiki/Dunholme",""
"","Earthnavel","","","False","","https://pathfinderwiki.com/wiki/Earthnavel",""
"","Edammera's Folly","","","False","","https://pathfinderwiki.com/wiki/Edammera's_Folly",""
"","Eel's Skull","","","False","","https://pathfinderwiki.com/wiki/Eel's_Skull",""
"","Egregzia","","","False","","https://pathfinderwiki.com/wiki/Egregzia",""
"","Ekbet","","","False","","https://pathfinderwiki.com/wiki/Ekbet",""
"","Elara's Halfway House","","","False","","https://pathfinderwiki.com/wiki/PathfinderWiki:Map_Locations_Without_Articles",""
"","Elfmeet","","","False","","https://pathfinderwiki.com/wiki/Elfmeet",""
"","Emerald Spire","","","False","","https://pathfinderwiki.com/wiki/Emerald_Spire",""
"","Emperor's Footprint","","","False","","https://pathfinderwiki.com/wiki/Emperor's_Footprint",""
"","Endless Cairn","","","False","","https://pathfinderwiki.com/wiki/Endless_Cairn",""
"","Erithiel's Hall","","","False","","https://pathfinderwiki.com/wiki/Erithiel's_Hall",""
"","Erran Tower","","","False","","https://pathfinderwiki.com/wiki/Erran_Tower",""
"","Evergrowth","","","False","","https://pathfinderwiki.com/wiki/Evergrowth",""
"","Everrest","","","False","","https://pathfinderwiki.com/wiki/Everrest",""
"","Eyes of the Bronze Man","","","False","","https://pathfinderwiki.com/wiki/Eyes_of_the_Bronze_Man",""
"","Faded Hall of Lorngrim","","","False","","https://pathfinderwiki.com/wiki/Faded_Hall_of_Lorngrim",""
"","Fangspire","","","False","","https://pathfinderwiki.com/wiki/Fangspire",""
"","Fangwood Keep","","","False","","https://pathfinderwiki.com/wiki/Fangwood_Keep",""
"","Farsouth Mine","","","False","","https://pathfinderwiki.com/wiki/Farsouth_Mine",""
"","Feasting Hall of Cayden Cailean","","","False","","https://pathfinderwiki.com/wiki/Feasting_Hall_of_Cayden_Cailean",""
"","Felicity Vale","","","False","","https://pathfinderwiki.com/wiki/Felicity_Vale",""
"","Fey's End","","","False","","https://pathfinderwiki.com/wiki/Fey's_End",""
"","Field of Bones and Black Glass","","","False","","https://pathfinderwiki.com/wiki/Field_of_Bones_and_Black_Glass",""
"","Field of Maidens","","","False","","https://pathfinderwiki.com/wiki/Field_of_Maidens",""
"","Fields of Jaadja","","","False","","https://pathfinderwiki.com/wiki/Fields_of_Jaadja",""
"","Fields of Pain's Forgetting","","","False","","https://pathfinderwiki.com/wiki/Fields_of_Pain's_Forgetting",""
"","Fiendslair","","","False","","https://pathfinderwiki.com/wiki/Fiendslair",""
"","Figwort Hollow","","","False","","https://pathfinderwiki.com/wiki/Figwort_Hollow",""
"","Firewatch Peaks","","","False","","https://pathfinderwiki.com/wiki/Firewatch_Peaks",""
"","First Step","","","False","","https://pathfinderwiki.com/wiki/First_Step",""
"","Fog Peaks","","","False","","https://pathfinderwiki.com/wiki/Fog_Peaks",""
"","Folly of the Feast","","","False","","https://pathfinderwiki.com/wiki/Folly_of_the_Feast",""
"","Footprint of the Lost Saint","","","False","","https://pathfinderwiki.com/wiki/Footprint_of_the_Lost_Saint",""
"","Forestheart","","","False","","https://pathfinderwiki.com/wiki/Forestheart",""
"","Forgotten Track","","","False","","https://pathfinderwiki.com/wiki/Forgotten_Track",""
"","Fort Landing","","","False","","https://pathfinderwiki.com/wiki/Fort_Landing",""
"","Fort Nunder","","","False","","https://pathfinderwiki.com/wiki/Fort_Nunder",""
"","Fort Ozem","","","False","","https://pathfinderwiki.com/wiki/Fort_Ozem",""
"","Fort Rannick","","","False","","https://pathfinderwiki.com/wiki/Fort_Rannick",""
"","Fort Ristin","","","False","","https://pathfinderwiki.com/wiki/Fort_Ristin",""
"","Fort Serenko","","","False","","https://pathfinderwiki.com/wiki/Fort_Serenko",""
"","Fort Trevalay","","","False","","https://pathfinderwiki.com/wiki/Fort_Trevalay",""
"","Fountain of Tabis","","","False","","https://pathfinderwiki.com/wiki/Fountain_of_Tabis",""
"","Frost Giant's Fist","","","False","","https://pathfinderwiki.com/wiki/Frost_Giant's_Fist",""
"","Frozen Pines","","","False","","https://pathfinderwiki.com/wiki/Frozen_Pines",""
"","Gallowspire","","","False","","https://pathfinderwiki.com/wiki/Gallowspire",""
"","Ganderhal's Lair","","","False","","https://pathfinderwiki.com/wiki/Ganderhal's_Lair",""
"","Garden of Lead","","","False","","https://pathfinderwiki.com/wiki/Garden_of_Lead",""
"","Gardens of Delight","","","False","","https://pathfinderwiki.com/wiki/Gardens_of_Delight",""
"","Gembasket","","","False","","https://pathfinderwiki.com/wiki/Gembasket",""
"","Gensmaren","","","False","","https://pathfinderwiki.com/wiki/Gensmaren",""
"","Ghasterhall","","","False","","https://pathfinderwiki.com/wiki/Ghasterhall",""
"","Ghataking","","","False","","https://pathfinderwiki.com/wiki/Ghataking",""
"","Ghorvaul's Crossing","","","False","","https://pathfinderwiki.com/wiki/Ghorvaul's_Crossing",""
"","Gloaming Wood","","","False","","https://pathfinderwiki.com/wiki/Gloaming_Wood",""
"","Gloomspires","","","False","","https://pathfinderwiki.com/wiki/Gloomspires",""
"","Godsblood Crevasse","","","False","","https://pathfinderwiki.com/wiki/PathfinderWiki:Map_Locations_Without_Articles",""
"","Gold Canyon","","","False","","https://pathfinderwiki.com/wiki/Gold_Canyon",""
"","Gorum Pots","","","False","","https://pathfinderwiki.com/wiki/Gorum_Pots",""
"","Gorum's Tankard","","","False","","https://pathfinderwiki.com/wiki/Gorum's_Tankard",""
"","Gozarin Necropolis","","","False","","https://pathfinderwiki.com/wiki/Gozarin_Necropolis",""
"","Gozreh's Pool","","","False","","https://pathfinderwiki.com/wiki/Gozreh's_Pool",""
"","Grand Grounds of the Splendid Statuary","","","False","","https://pathfinderwiki.com/wiki/Grand_Grounds_of_the_Splendid_Statuary",""
"","Gray Falls Lodge","","","False","","https://pathfinderwiki.com/wiki/Gray_Falls_Lodge",""
"","Grayfrond","","","False","","https://pathfinderwiki.com/wiki/PathfinderWiki:Map_Locations_Without_Articles",""
"","Ground of Lost Tears","","","False","","https://pathfinderwiki.com/wiki/Ground_of_Lost_Tears",""
"","Growling Skald","","","False","","https://pathfinderwiki.com/wiki/Growling_Skald",""
"","Gruankus","","","False","","https://pathfinderwiki.com/wiki/Gruankus",""
"","Grundlescorn Lair","","","False","","https://pathfinderwiki.com/wiki/Grundlescorn_Lair",""
"","Guiltspur","","","False","","https://pathfinderwiki.com/wiki/Guiltspur",""
"","Gutblood Labyrinth","","","False","","https://pathfinderwiki.com/wiki/Gutblood_Labyrinth",""
"","Gyanpad","","","False","","https://pathfinderwiki.com/wiki/Gyanpad",""
"","Haeringar's Keep","","","False","","https://pathfinderwiki.com/wiki/Haeringar's_Keep",""
"","Halfling Coast","","","False","","https://pathfinderwiki.com/wiki/Halfling_Coast",""
