location,source,target,id,fuzzy,context,translator_comments,developer_comments
,,Abadar,Abadar,,,https://pathfinderwiki.com/wiki/Abadar,
,,Absalom,Absalom,,,https://pathfinderwiki.com/wiki/Absalom,
,,Absalom Reckoning,Absalom Reckoning,,,https://pathfinderwiki.com/wiki/Absalom_Reckoning,
,,Abyssal Believed,Abyssal Believed,,,https://pathfinderwiki.com/wiki/Abyssal_Believed,
,,access,access,,,https://pathfinderwiki.com/wiki/access,
,,Achaekek,Achaekek,,,https://pathfinderwiki.com/wiki/Achaekek,
,,Age of Darkness,Age of Darkness,,,https://pathfinderwiki.com/wiki/Age_of_Darkness,
,,Age of Lost Omens,Age of Lost Omens,,,https://pathfinderwiki.com/wiki/Age_of_Lost_Omens,
,,Aldori duelist,Aldori duelist,,,https://pathfinderwiki.com/wiki/Aldori_duelist,
,,Alkenstar,Alkenstar,,,https://pathfinderwiki.com/wiki/Alkenstar,
,,Andoran,Andoran,,,https://pathfinderwiki.com/wiki/Andoran,
,,Arazni,Arazni,,,https://pathfinderwiki.com/wiki/Arazni,
,,Arcadia,Arcadia,,,https://pathfinderwiki.com/wiki/Arcadia,
,,archaic wayfinder,archaic wayfinder,,,https://pathfinderwiki.com/wiki/archaic_wayfinder,
,,Arclords of Nex,Arclords of Nex,,,https://pathfinderwiki.com/wiki/Arclords_of_Nex,
,,Aroden,Aroden,,,https://pathfinderwiki.com/wiki/Aroden,
,,Asmodeus,Asmodeus,,,https://pathfinderwiki.com/wiki/Asmodeus,
,,Aspis Consortium,Aspis Consortium,,,https://pathfinderwiki.com/wiki/Aspis_Consortium,
,,Avistan,Avistan,,,https://pathfinderwiki.com/wiki/Avistan,
,,Azlant,Azlant,,,https://pathfinderwiki.com/wiki/Azlant,
,,backgrounds,backgrounds,,,https://pathfinderwiki.com/wiki/backgrounds,
,,Barrier Wall,Barrier Wall,,,https://pathfinderwiki.com/wiki/Barrier_Wall,
,,Bekyar,Bekyar,,,https://pathfinderwiki.com/wiki/Bekyar,
,,Belkzen,Belkzen,,,https://pathfinderwiki.com/wiki/Belkzen,
,,Bellflower Network,Bellflower Network,,,https://pathfinderwiki.com/wiki/Bellflower_Network,
,,Besmara,Besmara,,,https://pathfinderwiki.com/wiki/Besmara,
,,black pearl aeon stone,black pearl aeon stone,,,https://pathfinderwiki.com/wiki/black_pearl_aeon_stone,
,,blessed tattoo,blessed tattoo,,,https://pathfinderwiki.com/wiki/blessed_tattoo,
,,Bloodcove,Bloodcove,,,https://pathfinderwiki.com/wiki/Bloodcove,
,,Bonuwat,Bonuwat,,,https://pathfinderwiki.com/wiki/Bonuwat,
,,Brevoy,Brevoy,,,https://pathfinderwiki.com/wiki/Brevoy,
