"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Abadar","","","False","","https://pathfinderwiki.com/wiki/Abadar",""
"","Absalom","","","False","","https://pathfinderwiki.com/wiki/Absalom",""
"","Absalom Reckoning","","","False","","https://pathfinderwiki.com/wiki/Absalom_Reckoning",""
"","Abyssal Believed","","","False","","https://pathfinderwiki.com/wiki/Abyssal_Believed",""
"","access","","","False","","https://pathfinderwiki.com/wiki/access",""
"","Achaekek","","","False","","https://pathfinderwiki.com/wiki/Achaekek",""
"","Age of Darkness","","","False","","https://pathfinderwiki.com/wiki/Age_of_Darkness",""
"","Age of Lost Omens","","","False","","https://pathfinderwiki.com/wiki/Age_of_Lost_Omens",""
"","Aldori duelist","","","False","","https://pathfinderwiki.com/wiki/Aldori_duelist",""
"","Alkenstar","","","False","","https://pathfinderwiki.com/wiki/Alkenstar",""
"","Andoran","","","False","","https://pathfinderwiki.com/wiki/Andoran",""
"","Arazni","","","False","","https://pathfinderwiki.com/wiki/Arazni",""
"","Arcadia","","","False","","https://pathfinderwiki.com/wiki/Arcadia",""
"","archaic wayfinder","","","False","","https://pathfinderwiki.com/wiki/archaic_wayfinder",""
"","Arclords of Nex","","","False","","https://pathfinderwiki.com/wiki/Arclords_of_Nex",""
"","Aroden","","","False","","https://pathfinderwiki.com/wiki/Aroden",""
"","Asmodeus","","","False","","https://pathfinderwiki.com/wiki/Asmodeus",""
"","Aspis Consortium","","","False","","https://pathfinderwiki.com/wiki/Aspis_Consortium",""
"","Avistan","","","False","","https://pathfinderwiki.com/wiki/Avistan",""
"","Azlant","","","False","","https://pathfinderwiki.com/wiki/Azlant",""
"","backgrounds","","","False","","https://pathfinderwiki.com/wiki/backgrounds",""
"","Barrier Wall","","","False","","https://pathfinderwiki.com/wiki/Barrier_Wall",""
"","Bekyar","","","False","","https://pathfinderwiki.com/wiki/Bekyar",""
"","Belkzen","","","False","","https://pathfinderwiki.com/wiki/Belkzen",""
"","Bellflower Network","","","False","","https://pathfinderwiki.com/wiki/Bellflower_Network",""
"","Besmara","","","False","","https://pathfinderwiki.com/wiki/Besmara",""
"","black pearl aeon stone","","","False","","https://pathfinderwiki.com/wiki/black_pearl_aeon_stone",""
"","blessed tattoo","","","False","","https://pathfinderwiki.com/wiki/blessed_tattoo",""
"","Bloodcove","","","False","","https://pathfinderwiki.com/wiki/Bloodcove",""
"","Bonuwat","","","False","","https://pathfinderwiki.com/wiki/Bonuwat",""
