location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Abadar,Абадар,,False,,https://pathfinderwiki.com/wiki/Abadar,
,Absalom,Абсалом,,False,,https://pathfinderwiki.com/wiki/Absalom,
,Absalom Reckoning,Літочислення Абсалома,,False,,https://pathfinderwiki.com/wiki/Absalom_Reckoning,
,Abyssal Believed,Абісальна,,False,,https://pathfinderwiki.com/wiki/Abyssal_Believed,
,access,доступ,,False,,https://pathfinderwiki.com/wiki/access,
,Achaekek,Ачакек,,False,,https://pathfinderwiki.com/wiki/Achaekek,
,Age of Darkness,Епоха Темряви,,False,,https://pathfinderwiki.com/wiki/Age_of_Darkness,
,Age of Lost Omens,Епоха Втрачених Ознак,,False,,https://pathfinderwiki.com/wiki/Age_of_Lost_Omens,
,Aldori duelist,Дуелянт Алдорі,,False,,https://pathfinderwiki.com/wiki/Aldori_duelist,
,Alkenstar,Алкенстар,,False,,https://pathfinderwiki.com/wiki/Alkenstar,
,Andoran,Андоран,,False,,https://pathfinderwiki.com/wiki/Andoran,
,Arazni,Аразні,,False,,https://pathfinderwiki.com/wiki/Arazni,
,Arcadia,Аркадія,,False,,https://pathfinderwiki.com/wiki/Arcadia,
,archaic wayfinder,архаїчний шляховик,,False,,https://pathfinderwiki.com/wiki/archaic_wayfinder,
,Arclords of Nex,Архілорди Некса,,False,,https://pathfinderwiki.com/wiki/Arclords_of_Nex,
,Aroden,Ароден,,False,,https://pathfinderwiki.com/wiki/Aroden,
,Asmodeus,Асмодей,,False,,https://pathfinderwiki.com/wiki/Asmodeus,
,Aspis Consortium,Консорціум Аспіс,,False,,https://pathfinderwiki.com/wiki/Aspis_Consortium,
,Avistan,Авістан,,False,,https://pathfinderwiki.com/wiki/Avistan,
,Azlant,Азлант,,False,,https://pathfinderwiki.com/wiki/Azlant,
,backgrounds,предісторії,,False,,https://pathfinderwiki.com/wiki/backgrounds,
,Barrier Wall,Бар'єрна Стіна,,False,,https://pathfinderwiki.com/wiki/Barrier_Wall,
,Bekyar,Бек'яр,,False,,https://pathfinderwiki.com/wiki/Bekyar,
,Belkzen,Белкзен,,False,,https://pathfinderwiki.com/wiki/Belkzen,
,Bellflower Network,Мережка Дзвіночків,,False,,https://pathfinderwiki.com/wiki/Bellflower_Network,
,Besmara,Бесмара,,False,,https://pathfinderwiki.com/wiki/Besmara,
,black pearl aeon stone,чорний перлинний камінь еон,,False,,https://pathfinderwiki.com/wiki/black_pearl_aeon_stone,
,blessed tattoo,благословенне татуювання,,False,,https://pathfinderwiki.com/wiki/blessed_tattoo,
,Bloodcove,Кривава Бухта,,False,,https://pathfinderwiki.com/wiki/Bloodcove,
,Bonuwat,Бонуват,,False,,https://pathfinderwiki.com/wiki/Bonuwat,
,Brevoy,Бревой,,False,,https://pathfinderwiki.com/wiki/Brevoy,
,Calistria,Калістрія,,False,,https://pathfinderwiki.com/wiki/Calistria,
,Casandalee,Касандалі,,False,,https://pathfinderwiki.com/wiki/Casandalee,
,Casmaron,Касмарон,,False,,https://pathfinderwiki.com/wiki/Casmaron,
,Cayden Cailean,Кайден Кайлефн,,False,,https://pathfinderwiki.com/wiki/Cayden_Cailean,
,Cheliax,Челіакс,,False,,https://pathfinderwiki.com/wiki/Cheliax,
,Common,Звичайний,,False,,https://pathfinderwiki.com/wiki/Common,
,Crown of the World,Корона Світу,,False,,https://pathfinderwiki.com/wiki/Crown_of_the_World,
,Darklands,Темнозем'я,,False,,https://pathfinderwiki.com/wiki/Darklands,
,Desna,Дезна,,False,,https://pathfinderwiki.com/wiki/Desna,
,Draconic,Драконова,,False,,https://pathfinderwiki.com/wiki/Draconic,
,Druma,Друма,,False,,https://pathfinderwiki.com/wiki/Druma,
,dwarf,дворф,,False,,https://pathfinderwiki.com/wiki/dwarf,
,Dwarven,Дворфійська,,False,,https://pathfinderwiki.com/wiki/Dwarven,
